"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.139530077E0,-1.196189404E0,-6.396245956E-2,1.867540359E0,2.218708471E0
1.149525846E0,-1.192914963E0,-4.823207855E-2,1.856938362E0,2.207621463E0
1.159545846E0,-1.666050673E0,-4.184241295E-1,1.715636253E0,2.427799693E0
1.169547615E0,-1.657959700E0,-4.058032036E-1,1.707671165E0,2.414466280E0
1.179630154E0,-1.730545759E0,-7.202544212E-1,1.506416321E0,2.404754704E0
1.189560923E0,-1.724243879E0,-7.105827332E-1,1.500370979E0,2.393545039E0
1.199641308E0,-1.277994752E0,-8.694391251E-1,1.992177963E-1,1.558487314E0
1.210144769E0,-1.245938301E0,-9.419717789E-1,-5.608034134E-1,1.659570291E0
1.220471538E0,-1.257106543E0,-9.498987198E-1,-5.563545227E-1,1.670974205E0
1.229531538E0,-8.998000622E-1,-8.747439384E-1,-7.083783150E-1,1.441047170E0
1.239542615E0,-9.117307067E-1,-8.835358620E-1,-7.033429146E-1,1.451406131E0
1.249530154E0,-8.738164902E-1,-8.826160431E-1,-5.456166267E-1,1.356563246E0
1.259629846E0,-8.958869576E-1,-7.621126175E-1,-7.535557747E-1,1.396880592E0
1.269839538E0,-8.955252767E-1,-7.695074081E-1,-7.484240532E-1,1.397943395E0
1.279538615E0,-9.674408436E-1,-6.976103783E-1,-7.804260254E-1,1.425365499E0
1.289574769E0,-9.630041122E-1,-7.049174309E-1,-7.750024796E-1,1.422994852E0
1.299653308E0,-1.093420267E0,-6.449971199E-1,-9.034652710E-1,1.558152323E0
1.309529462E0,-1.083520412E0,-6.511645317E-1,-8.983507156E-1,1.550827437E0
1.319710077E0,-1.128516078E0,-5.517640114E-1,-1.102734566E0,1.671530911E0
1.329544385E0,-1.042045951E0,-5.395216942E-1,-8.665513992E-1,1.458716816E0
1.339527231E0,-1.027017474E0,-5.417881012E-1,-8.636398315E-1,1.447125771E0
1.349529077E0,-7.194617391E-1,-5.017824173E-1,-6.776041985E-1,1.108403464E0
1.359525462E0,-7.080161572E-1,-5.000238419E-1,-6.777863503E-1,1.100320434E0
1.369534615E0,-4.650234580E-1,-6.072840691E-1,-1.301693916E-1,7.758768121E-1
1.379578846E0,-4.551781416E-1,-6.014218330E-1,-1.333317757E-1,7.659456405E-1
1.389573462E0,-4.308491945E-1,-5.830869675E-1,-3.044791222E-1,7.863389701E-1
1.399614308E0,-4.919148684E-1,-3.746185303E-1,-8.261590004E-1,1.031919558E0
1.409528615E0,-4.789084792E-1,-3.777866364E-1,-8.226675987E-1,1.024137711E0
1.419522000E0,-3.514533043E-1,-2.734708786E-1,-6.905460358E-1,8.216809442E-1
1.429519769E0,-3.393301368E-1,-2.754516602E-1,-6.879291534E-1,8.150245880E-1
1.440014692E0,-3.361076117E-2,-2.146139145E-1,-3.620195389E-1,4.221930389E-1
1.449810231E0,1.206874847E-3,-6.480121613E-2,-3.830881119E-1,3.885320522E-1
1.459849308E0,1.211225986E-3,-6.287193298E-2,-3.844337463E-1,3.895428761E-1
1.469824462E0,-6.536096334E-2,3.411245346E-2,-2.106814384E-1,2.232092819E-1
1.479526615E0,-6.795120239E-2,3.685903549E-2,-2.128653526E-1,2.264676859E-1
1.489527846E0,1.417143345E-1,5.510568619E-2,-2.436776161E-1,2.872252946E-1
1.499562231E0,1.351656318E-1,5.882358551E-2,-2.469372749E-1,2.875899511E-1
1.511480923E0,-7.715028524E-2,1.070837975E-1,-1.312508583E-1,1.861340753E-1
1.519715923E0,1.656402349E-1,1.155104637E-1,-4.591689110E-1,5.016128422E-1
1.529530923E0,1.548746824E-1,1.152901649E-1,-4.600825310E-1,4.989528281E-1
1.539526000E0,1.679341197E-1,1.631245613E-1,-6.465373039E-1,6.876205177E-1
1.549519692E0,1.533271074E-1,1.616749763E-1,-6.469321251E-1,6.842288903E-1
1.559572615E0,8.666658401E-2,2.411007881E-1,-5.369133949E-1,5.949089682E-1
1.569952846E0,1.570980549E-1,2.696447372E-1,-4.658198357E-1,5.606926096E-1
1.579596692E0,1.433981657E-1,2.713513374E-1,-4.682421684E-1,5.598618674E-1
1.589642000E0,-1.396536827E-3,2.798981667E-1,-2.862310410E-1,4.003412829E-1
1.599524308E0,-1.334398985E-2,2.827816010E-1,-2.892694473E-1,4.047472162E-1
1.609572923E0,-9.900105000E-2,4.779434204E-1,-4.303765297E-1,6.507342609E-1
1.621714385E0,4.210621119E-2,6.009931564E-1,-8.324136734E-1,1.027559356E0
1.629648308E0,-3.842377663E-2,5.945072174E-1,-8.288621902E-1,1.020748622E0
1.639863923E0,-1.899070144E-1,6.635961533E-1,-8.689060211E-1,1.109694644E0
1.649539923E0,-1.976937652E-1,6.552700996E-1,-8.637285233E-1,1.102038425E0
1.659641462E0,-3.367962837E-1,6.959471703E-1,-5.151004791E-1,9.290332094E-1
1.670338308E0,-3.405132890E-1,6.893315315E-1,-5.107660294E-1,9.230434427E-1
1.679530769E0,-4.969512224E-1,7.770562172E-1,-4.598603249E-1,1.030654356E0
1.689548692E0,-4.992747307E-1,7.694101334E-1,-4.546732903E-1,1.023716275E0
1.699651846E0,-4.360841513E-1,8.173360825E-1,-3.156633377E-1,9.786986265E-1
1.709644462E0,-6.434420943E-1,7.544717789E-1,2.859158516E-1,1.031985110E0
1.719587769E0,-6.498413086E-1,7.490863800E-1,2.892279625E-1,1.032994165E0
1.729591231E0,-4.324237108E-1,7.561244965E-1,1.715011597E-1,8.877652660E-1
1.739588385E0,-4.415161014E-1,7.479352951E-1,1.766252518E-1,8.863070309E-1
1.749543538E0,-3.443598747E-1,6.758251190E-1,6.198778152E-1,9.795773684E-1
1.759524539E0,-3.563660979E-1,6.678791046E-1,6.246643066E-1,9.814605393E-1
1.769578539E0,-1.017565727E-1,6.300706863E-1,1.029006958E0,1.210866958E0
1.780299385E0,-5.678451061E-2,7.278933525E-1,1.375744820E0,1.557474565E0
1.789534231E0,-7.359164953E-2,7.198371887E-1,1.380388260E0,1.558541965E0
1.799519615E0,4.316816032E-1,9.055738449E-1,1.466070175E0,1.776450043E0
1.809524154E0,4.095342159E-1,8.916831017E-1,1.474698544E0,1.771313869E0
