"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.469982307E0,7.431685328E-1,5.630664825E-1,-8.159523010E-1,1.239000198E0
1.479997461E0,7.432562113E-1,5.649266243E-1,-8.169183731E-1,1.240535173E0
1.492675307E0,5.458403826E-1,5.768318176E-1,-6.254549026E-1,1.010876107E0
1.499978615E0,5.463237762E-1,5.850739479E-1,-6.297187805E-1,1.018492482E0
1.509968231E0,4.521994591E-1,4.865932465E-1,9.424972534E-2,6.709249951E-1
1.521052154E0,2.329811156E-1,5.254282951E-1,6.550798416E-1,8.714841894E-1
1.530658000E0,2.299363315E-1,5.435533524E-1,6.457672119E-1,8.748349875E-1
1.540078000E0,5.317719579E-1,5.834727287E-1,8.961105347E-2,7.945136759E-1
1.550018461E0,5.257659554E-1,5.937733650E-1,8.430767059E-2,7.975615539E-1
1.560001538E0,7.077789307E-1,6.210451126E-1,-5.669183731E-1,1.099110772E0
1.569977615E0,7.044156790E-1,6.203894615E-1,-5.666265488E-1,1.096426094E0
1.579986231E0,5.660536885E-1,6.227674484E-1,-1.093254566E0,1.379659965E0
1.589974461E0,4.432332814E-1,5.420279503E-1,-1.392811775E0,1.558901755E0
1.600005077E0,4.476464987E-1,5.380830765E-1,-1.390751839E0,1.556955832E0
1.609990923E0,7.045705318E-1,4.297089577E-1,-1.175551891E0,1.436311830E0
1.620006231E0,7.029584050E-1,4.319858551E-1,-1.176727772E0,1.437167543E0
1.629996923E0,5.774297714E-1,4.518351555E-1,-6.857280731E-1,1.003893988E0
1.639981615E0,5.369294882E-1,5.069694519E-1,-7.838897705E-1,1.076937544E0
1.650080384E0,5.329522491E-1,5.138611794E-1,-7.874174118E-1,1.080794889E0
1.659988769E0,6.075276136E-1,5.076885223E-1,-1.285399914E0,1.509665650E0
1.670097077E0,6.025927067E-1,5.094528198E-1,-1.286342144E0,1.509084576E0
1.680009846E0,7.796790600E-1,5.349750519E-1,-1.661170959E0,1.911435769E0
1.689979461E0,7.738660574E-1,5.358343124E-1,-1.661660194E0,1.909738644E0
1.700216307E0,9.088478088E-1,6.105427742E-1,-1.413582802E0,1.788010950E0
1.709982384E0,5.042809248E-1,7.121109962E-1,-5.379123688E-1,1.025061480E0
1.719994923E0,5.031715631E-1,7.303867340E-1,-5.470571518E-1,1.042073860E0
1.731056077E0,5.104626417E-1,8.021531105E-1,3.911180496E-1,1.028102646E0
1.740060077E0,5.102750063E-1,8.243966103E-1,3.801298141E-1,1.041397632E0
1.749975692E0,1.012108684E0,9.810719490E-1,4.474296570E-1,1.478871007E0
1.759979846E0,1.004454851E0,9.984970093E-1,5.918664932E-1,1.535002206E0
1.769998154E0,9.049614072E-1,1.299302578E0,6.215696335E-1,1.701026498E0
